timestamp,ticket,expected_outcome,evidence_confidence,risk,ticket_category,top_evidence_category,category_aligned,predicted_outcome,correct,decision_reason
2026-09-11T00:22:32+00:00,Why can't I move my issue to Done?,FALLBACK,0.011522365,Low,01_Workflows,03_Issues,False,FALLBACK,True,evidence_confidence (0.0115) below fallback_threshold (0.05)
2026-09-11T00:23:01+00:00,Why does Jira only show data from the last 14 days?,GUIDE,0.103510216,Low,06_Search,04_Projects,False,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:23:17+00:00,How do I bulk edit multiple issues at once?,FALLBACK,0.46549278,Low,03_Issues,03_Issues,True,GUIDE,False,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:23:58+00:00,What is a queue in Jira Service Management?,RESOLVE,0.8928713,Low,09_Jira_Service_Management,09_Jira_Service_Management,True,RESOLVE,True,evidence_confidence (0.8929) >= resolve_threshold (0.5) and evidence category matches ticket category
2026-09-11T00:24:13+00:00,Can you create a new permission scheme for my project?,RESOLVE,0.9831934,Low,02_Permissions,02_Permissions,True,RESOLVE,True,evidence_confidence (0.9832) >= resolve_threshold (0.5) and evidence category matches ticket category
2026-09-11T00:24:55+00:00,Why don't I get email notifications when someone comments on my issue?,TBD,0.15636408,Low,08_Notifications,08_Notifications,True,GUIDE,,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:25:11+00:00,How do I search for issues by a custom field's value?,TBD,0.8468193,Low,06_Search,06_Search,True,RESOLVE,,evidence_confidence (0.8468) >= resolve_threshold (0.5) and evidence category matches ticket category
2026-09-11T00:25:37+00:00,Can I move an issue between two different boards?,TBD,0.036172256,Low,07_Boards,03_Issues,False,FALLBACK,,evidence_confidence (0.0362) below fallback_threshold (0.05)
2026-09-11T00:26:20+00:00,Why did the priority field disappear after I changed the issue type?,TBD,0.07933854,Low,05_Fields,03_Issues,False,GUIDE,,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:26:49+00:00,What happens to my saved filters if I leave the project?,TBD,0.43193144,Low,06_Search,06_Search,True,GUIDE,,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:27:19+00:00,Why can't I see the Epic field on my issue screen?,TBD,0.01746431,Low,05_Fields,06_Search,False,FALLBACK,,evidence_confidence (0.0175) below fallback_threshold (0.05)
2026-09-11T00:27:49+00:00,How do I restrict who can transition an issue to Done?,TBD,0.57312447,Low,02_Permissions,03_Issues,False,GUIDE,,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:28:05+00:00,How do I set field-level security so only admins can see a custom field?,TBD,0.39936015,Low,02_Permissions,02_Permissions,True,GUIDE,,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:28:20+00:00,How do I link an epic to issues in a different project?,TBD,0.19347979,Low,03_Issues,06_Search,False,GUIDE,,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:37:21+00:00,Why can't I move my issue to Done?,FALLBACK,0.011522365,Low,01_Workflows,03_Issues,False,FALLBACK,True,evidence_confidence (0.0115) below fallback_threshold (0.05)
2026-09-11T00:38:02+00:00,Why does Jira only show data from the last 14 days?,GUIDE,0.103510216,Low,07_Boards,04_Projects,False,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:38:18+00:00,How do I bulk edit multiple issues at once?,GUIDE,0.46549278,Low,03_Issues,03_Issues,True,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:38:34+00:00,What is a queue in Jira Service Management?,RESOLVE,0.8928713,Low,09_Jira_Service_Management,09_Jira_Service_Management,True,RESOLVE,True,evidence_confidence (0.8929) >= resolve_threshold (0.5) and evidence category matches ticket category
2026-09-11T00:38:46+00:00,Can you create a new permission scheme for my project?,RESOLVE,0.9831934,Low,02_Permissions,02_Permissions,True,RESOLVE,True,evidence_confidence (0.9832) >= resolve_threshold (0.5) and evidence category matches ticket category
2026-09-11T00:39:23+00:00,Why don't I get email notifications when someone comments on my issue?,GUIDE,0.15636408,Low,08_Notifications,08_Notifications,True,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T00:39:43+00:00,How do I search for issues by a custom field's value?,RESOLVE,0.8468193,Low,06_Search,06_Search,True,RESOLVE,True,evidence_confidence (0.8468) >= resolve_threshold (0.5) and evidence category matches ticket category
