timestamp,ticket,expected_outcome,evidence_confidence,risk,ticket_category,top_evidence_category,category_aligned,predicted_outcome,correct,decision_reason
2026-09-11T01:18:19+00:00,Why can't I move my issue to Done?,FALLBACK,0.011522365,Low,01_Workflows,03_Issues,False,FALLBACK,True,evidence_confidence (0.0115) below fallback_threshold (0.05)
2026-09-11T01:18:52+00:00,Why does Jira only show data from the last 14 days?,GUIDE,0.103510216,Low,07_Boards,04_Projects,False,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T01:19:10+00:00,How do I bulk edit multiple issues at once?,GUIDE,0.46549278,Low,03_Issues,03_Issues,True,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T01:19:29+00:00,What is a queue in Jira Service Management?,RESOLVE,0.8928713,Low,09_Jira_Service_Management,09_Jira_Service_Management,True,RESOLVE,True,evidence_confidence (0.8929) >= resolve_threshold (0.65) and evidence category matches ticket category
2026-09-11T01:19:40+00:00,Can you create a new permission scheme for my project?,RESOLVE,0.9831934,Low,02_Permissions,02_Permissions,True,RESOLVE,True,evidence_confidence (0.9832) >= resolve_threshold (0.65) and evidence category matches ticket category
2026-09-11T01:19:59+00:00,Why don't I get email notifications when someone comments on my issue?,GUIDE,0.15636408,Low,08_Notifications,08_Notifications,True,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T01:20:20+00:00,How do I search for issues by a custom field's value?,RESOLVE,0.8468193,Low,06_Search,06_Search,True,RESOLVE,True,evidence_confidence (0.8468) >= resolve_threshold (0.65) and evidence category matches ticket category
2026-09-11T01:21:01+00:00,Can I move an issue between two different boards?,FALLBACK,0.036172256,Low,07_Boards,03_Issues,False,FALLBACK,True,evidence_confidence (0.0362) below fallback_threshold (0.05)
2026-09-11T01:21:38+00:00,Why did the priority field disappear after I changed the issue type?,GUIDE,0.07933854,Low,05_Fields,03_Issues,False,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T01:22:09+00:00,What happens to my saved filters if I leave the project?,GUIDE,0.43193144,Low,06_Search,06_Search,True,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T01:22:29+00:00,Why can't I see the Epic field on my issue screen?,FALLBACK,0.01746431,Low,05_Fields,06_Search,False,FALLBACK,True,evidence_confidence (0.0175) below fallback_threshold (0.05)
2026-09-11T01:22:53+00:00,How do I restrict who can transition an issue to Done?,GUIDE,0.57312447,Low,02_Permissions,03_Issues,False,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T01:23:20+00:00,How do I link an epic to issues in a different project?,GUIDE,0.19347979,Low,03_Issues,06_Search,False,GUIDE,True,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T01:23:33+00:00,A former employee still has access to all our projects. How do I revoke that access immediately?,ESCALATE,0.06114478,Medium,02_Permissions,08_Notifications,False,GUIDE,False,"evidence present and risk not High, but confidence/alignment insufficient for a definitive RESOLVE"
2026-09-11T01:23:47+00:00,How do I permanently delete a project and all its issues?,FALLBACK,0.97204584,High,03_Issues,03_Issues,True,ESCALATE,False,risk classified as High by ticket analysis
